configuration,offset,cycles,ber
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,12.1875,0.5
fixed,0,12.1875,0.03125
fixed,0,12.1875,0.0
fixed,0,12.1875,0.4375
fixed,0,12.1875,0.0
fixed,0,12.1875,0.46875
fixed,0,12.1875,0.46875
fixed,0,12.1875,0.5
fixed,0,12.1875,0.96875
fixed,0,12.1875,0.03125
fixed,0,12.1875,0.40625
fixed,0,12.1875,0.09375
fixed,0,12.1875,0.4375
fixed,0,12.1875,0.4375
fixed,0,12.1875,0.03125
fixed,0,12.1875,0.0625
fixed,0,12.1875,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.03125
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,2,1.21875,0.53125
fixed,2,1.21875,0.40625
fixed,2,1.21875,0.53125
fixed,2,1.21875,0.40625
fixed,2,1.21875,0.53125
fixed,2,1.21875,0.46875
fixed,2,1.21875,0.5
fixed,2,1.21875,0.5
fixed,2,1.21875,0.5625
fixed,2,1.21875,0.4375
fixed,2,1.21875,0.5
fixed,2,1.21875,0.4375
fixed,2,1.21875,0.53125
fixed,2,1.21875,0.53125
fixed,2,1.21875,0.46875
fixed,2,1.21875,0.4375
fixed,2,1.21875,0.4375
fixed,2,2.4375,0.5625
fixed,2,2.4375,0.5
fixed,2,2.4375,0.4375
fixed,2,2.4375,0.5625
fixed,2,2.4375,0.65625
fixed,2,2.4375,0.5625
fixed,2,2.4375,0.5625
fixed,2,2.4375,0.40625
fixed,2,2.4375,0.5625
fixed,2,2.4375,0.4375
fixed,2,2.4375,0.5625
fixed,2,2.4375,0.46875
fixed,2,2.4375,0.40625
fixed,2,2.4375,0.5
fixed,2,2.4375,0.5
fixed,2,2.4375,0.5625
fixed,2,2.4375,0.5
fixed,2,3.65625,0.0
fixed,2,3.65625,0.3125
fixed,2,3.65625,0.15625
fixed,2,3.65625,0.0625
fixed,2,3.65625,0.34375
fixed,2,3.65625,0.5
fixed,2,3.65625,0.71875
fixed,2,3.65625,0.59375
fixed,2,3.65625,0.09375
fixed,2,3.65625,0.0
fixed,2,3.65625,0.0
fixed,2,3.65625,0.0
fixed,2,3.65625,0.0
fixed,2,3.65625,1.0
fixed,2,3.65625,1.0
fixed,2,3.65625,0.40625
fixed,2,3.65625,0.5
fixed,2,4.875,0.5
fixed,2,4.875,0.0
fixed,2,4.875,0.0
fixed,2,4.875,0.0
fixed,2,4.875,0.8125
fixed,2,4.875,0.25
fixed,2,4.875,0.21875
fixed,2,4.875,0.40625
fixed,2,4.875,0.78125
fixed,2,4.875,0.40625
fixed,2,4.875,0.96875
fixed,2,4.875,0.0
fixed,2,4.875,0.0
fixed,2,4.875,0.25
fixed,2,4.875,0.0
fixed,2,4.875,0.84375
fixed,2,4.875,0.34375
fixed,2,6.09375,1.0
fixed,2,6.09375,0.375
fixed,2,6.09375,0.21875
fixed,2,6.09375,0.375
fixed,2,6.09375,0.4375
fixed,2,6.09375,0.0
fixed,2,6.09375,0.21875
fixed,2,6.09375,0.0
fixed,2,6.09375,0.0
fixed,2,6.09375,0.0
fixed,2,6.09375,0.0
fixed,2,6.09375,0.0
fixed,2,6.09375,0.0
fixed,2,6.09375,0.46875
fixed,2,6.09375,0.0
fixed,2,6.09375,0.9375
fixed,2,6.09375,0.46875
fixed,2,7.3125,0.0
fixed,2,7.3125,0.09375
fixed,2,7.3125,0.0
fixed,2,7.3125,0.0
fixed,2,7.3125,0.0
fixed,2,7.3125,0.0625
fixed,2,7.3125,0.03125
fixed,2,7.3125,0.0
fixed,2,7.3125,0.4375
fixed,2,7.3125,0.4375
fixed,2,7.3125,0.84375
fixed,2,7.3125,0.28125
fixed,2,7.3125,0.375
fixed,2,7.3125,0.09375
fixed,2,7.3125,0.5625
fixed,2,7.3125,0.15625
fixed,2,7.3125,0.875
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.90625
fixed,2,8.53125,0.59375
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.0
fixed,2,8.53125,0.9375
fixed,2,8.53125,0.0
fixed,2,8.53125,0.625
fixed,2,8.53125,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,9.75,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.125
fixed,2,10.96875,0.03125
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0
fixed,2,10.96875,0.375
fixed,2,10.96875,0.0
fixed,2,10.96875,0.0625
fixed,2,13.40625,0.09375
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.5
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,13.40625,0.4375
fixed,2,13.40625,0.0
fixed,2,13.40625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.375
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0625
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,14.625,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,15.84375,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0625
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,17.0625,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,18.28125,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,19.5,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.03125
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,20.71875,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,21.9375,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,23.15625,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.03125
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0625
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,12.1875,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,25.59375,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,26.8125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,28.03125,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,29.25,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,2,24.375,0.0
fixed,4,1.21875,0.5
fixed,4,1.21875,0.5
fixed,4,1.21875,0.375
fixed,4,1.21875,0.625
fixed,4,1.21875,0.375
fixed,4,1.21875,0.53125
fixed,4,1.21875,0.40625
fixed,4,1.21875,0.53125
fixed,4,1.21875,0.59375
fixed,4,1.21875,0.4375
fixed,4,1.21875,0.46875
fixed,4,1.21875,0.5
fixed,4,1.21875,0.53125
fixed,4,1.21875,0.46875
fixed,4,1.21875,0.5625
fixed,4,1.21875,0.5
fixed,4,1.21875,0.4375
fixed,4,2.4375,0.53125
fixed,4,2.4375,0.40625
fixed,4,2.4375,0.46875
fixed,4,2.4375,0.5
fixed,4,2.4375,0.59375
fixed,4,2.4375,0.4375
fixed,4,2.4375,0.4375
fixed,4,2.4375,0.46875
fixed,4,2.4375,0.59375
fixed,4,2.4375,0.5625
fixed,4,2.4375,0.4375
fixed,4,2.4375,0.4375
fixed,4,2.4375,0.40625
fixed,4,2.4375,0.34375
fixed,4,2.4375,0.5
fixed,4,2.4375,0.53125
fixed,4,2.4375,0.5
fixed,4,3.65625,0.25
fixed,4,3.65625,0.0
fixed,4,3.65625,0.0
fixed,4,3.65625,0.375
fixed,4,3.65625,0.65625
fixed,4,3.65625,0.3125
fixed,4,3.65625,0.96875
fixed,4,3.65625,0.0
fixed,4,3.65625,0.03125
fixed,4,3.65625,0.0
fixed,4,3.65625,0.96875
fixed,4,3.65625,0.0
fixed,4,3.65625,0.0
fixed,4,3.65625,0.96875
fixed,4,3.65625,0.96875
fixed,4,3.65625,0.5
fixed,4,3.65625,0.40625
fixed,4,4.875,0.3125
fixed,4,4.875,0.59375
fixed,4,4.875,0.53125
fixed,4,4.875,0.46875
fixed,4,4.875,0.53125
fixed,4,4.875,0.4375
fixed,4,4.875,0.375
fixed,4,4.875,0.03125
fixed,4,4.875,0.40625
fixed,4,4.875,0.375
fixed,4,4.875,0.03125
fixed,4,4.875,0.6875
fixed,4,4.875,0.46875
fixed,4,4.875,0.15625
fixed,4,4.875,0.375
fixed,4,4.875,0.03125
fixed,4,4.875,0.5
fixed,4,6.09375,0.46875
fixed,4,6.09375,0.03125
fixed,4,6.09375,0.46875
fixed,4,6.09375,0.46875
fixed,4,6.09375,0.0
fixed,4,6.09375,0.0
fixed,4,6.09375,0.0
fixed,4,6.09375,0.3125
fixed,4,6.09375,0.0625
fixed,4,6.09375,0.0
fixed,4,6.09375,0.4375
fixed,4,6.09375,0.0
fixed,4,6.09375,0.0
fixed,4,6.09375,0.0
fixed,4,6.09375,0.0
fixed,4,6.09375,0.0
fixed,4,6.09375,0.0
fixed,4,7.3125,0.0
fixed,4,7.3125,0.5
fixed,4,7.3125,0.0
fixed,4,7.3125,0.5625
fixed,4,7.3125,0.53125
fixed,4,7.3125,0.0
fixed,4,7.3125,0.0
fixed,4,7.3125,0.40625
fixed,4,7.3125,0.4375
fixed,4,7.3125,0.46875
fixed,4,7.3125,0.46875
fixed,4,7.3125,0.53125
fixed,4,7.3125,0.4375
fixed,4,7.3125,0.4375
fixed,4,7.3125,0.4375
fixed,4,7.3125,0.4375
fixed,4,7.3125,0.40625
fixed,4,8.53125,0.0
fixed,4,8.53125,0.0
fixed,4,8.53125,0.0
fixed,4,8.53125,0.0
fixed,4,8.53125,0.0
fixed,4,8.53125,0.5
fixed,4,8.53125,0.5
fixed,4,8.53125,0.03125
fixed,4,8.53125,0.0
fixed,4,8.53125,0.1875
fixed,4,8.53125,0.09375
fixed,4,8.53125,0.90625
fixed,4,8.53125,0.0
fixed,4,8.53125,0.09375
fixed,4,8.53125,0.96875
fixed,4,8.53125,0.0
fixed,4,8.53125,0.03125
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.75
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.0
fixed,4,9.75,0.40625
fixed,4,9.75,0.65625
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,10.96875,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.40625
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.0
fixed,4,13.40625,0.03125
fixed,4,13.40625,0.0
fixed,4,13.40625,0.53125
fixed,4,13.40625,0.53125
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.0
fixed,4,14.625,0.03125
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.03125
fixed,4,15.84375,0.875
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,1.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,15.84375,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0
fixed,4,17.0625,0.0625
fixed,4,17.0625,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,18.28125,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.1875
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,19.5,0.0
fixed,4,20.71875,0.03125
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.375
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,20.71875,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,21.9375,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,23.15625,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,12.1875,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,25.59375,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,26.8125,0.0
fixed,4,28.03125,0.03125
fixed,4,28.03125,0.0
fixed,4,28.03125,0.0
fixed,4,28.03125,0.0
fixed,4,28.03125,0.0
fixed,4,28.03125,0.0
fixed,4,28.03125,0.0
fixed,4,28.03125,0.0
fixed,4,28.03125,0.0
fixed,4,28.03125,0.0
